File	Length_cM
Y3088_LG4_r1_noInfo.raw	101.433468340166
Y3088_LG4_r10_noInfo.raw	101.556817149222
Y3088_LG4_r100_noInfo.raw	167.554665012314
Y3088_LG4_r11_noInfo.raw	180.239648330388
Y3088_LG4_r12_noInfo.raw	172.878090284642
Y3088_LG4_r13_noInfo.raw	178.972493007963
Y3088_LG4_r14_noInfo.raw	179.675245658858
Y3088_LG4_r15_noInfo.raw	101.119499083524
Y3088_LG4_r16_noInfo.raw	179.331805305404
Y3088_LG4_r17_noInfo.raw	180.339727353916
Y3088_LG4_r18_noInfo.raw	100.973269957503
Y3088_LG4_r19_noInfo.raw	176.281809071871
Y3088_LG4_r2_noInfo.raw	184.493408316818
Y3088_LG4_r20_noInfo.raw	104.290124377396
Y3088_LG4_r21_noInfo.raw	102.496551561623
Y3088_LG4_r22_noInfo.raw	100.211897060685
Y3088_LG4_r23_noInfo.raw	104.643449413926
Y3088_LG4_r24_noInfo.raw	100.937905051526
Y3088_LG4_r25_noInfo.raw	184.811590580932
Y3088_LG4_r26_noInfo.raw	100.722434322239
Y3088_LG4_r27_noInfo.raw	100.479696445594
Y3088_LG4_r28_noInfo.raw	100.7299525125
Y3088_LG4_r29_noInfo.raw	177.018364743274
Y3088_LG4_r3_noInfo.raw	101.649306040028
Y3088_LG4_r30_noInfo.raw	104.625338983353
Y3088_LG4_r31_noInfo.raw	99.834502881506
Y3088_LG4_r32_noInfo.raw	184.961821108872
Y3088_LG4_r33_noInfo.raw	175.116084487237
Y3088_LG4_r34_noInfo.raw	101.298510654426
Y3088_LG4_r35_noInfo.raw	187.126419410695
Y3088_LG4_r36_noInfo.raw	175.807698081738
Y3088_LG4_r37_noInfo.raw	100.251453186474
Y3088_LG4_r38_noInfo.raw	106.446784351067
Y3088_LG4_r39_noInfo.raw	100.291530192792
Y3088_LG4_r4_noInfo.raw	100.990897198207
Y3088_LG4_r40_noInfo.raw	100.629843979845
Y3088_LG4_r41_noInfo.raw	101.486169979945
Y3088_LG4_r42_noInfo.raw	100.946623891547
Y3088_LG4_r43_noInfo.raw	100.972907394728
Y3088_LG4_r44_noInfo.raw	101.41914574094
Y3088_LG4_r45_noInfo.raw	100.587202203678
Y3088_LG4_r46_noInfo.raw	176.075229883451
Y3088_LG4_r47_noInfo.raw	100.597477821803
Y3088_LG4_r48_noInfo.raw	206.659842998021
Y3088_LG4_r49_noInfo.raw	101.088035151761
Y3088_LG4_r5_noInfo.raw	181.410056730352
Y3088_LG4_r50_noInfo.raw	179.87858308537
Y3088_LG4_r51_noInfo.raw	204.798120402807
Y3088_LG4_r52_noInfo.raw	178.672517530583
Y3088_LG4_r53_noInfo.raw	99.3655719489354
Y3088_LG4_r54_noInfo.raw	181.906862762521
Y3088_LG4_r55_noInfo.raw	100.784437845342
Y3088_LG4_r56_noInfo.raw	100.805077482454
Y3088_LG4_r57_noInfo.raw	186.543607044981
Y3088_LG4_r58_noInfo.raw	100.831202272656
Y3088_LG4_r59_noInfo.raw	180.794696470779
Y3088_LG4_r6_noInfo.raw	184.824236174874
Y3088_LG4_r60_noInfo.raw	181.087252465903
Y3088_LG4_r61_noInfo.raw	105.225224391055
Y3088_LG4_r62_noInfo.raw	180.594243918131
Y3088_LG4_r63_noInfo.raw	179.331821093061
Y3088_LG4_r64_noInfo.raw	200.073208575199
Y3088_LG4_r65_noInfo.raw	180.046568731168
Y3088_LG4_r66_noInfo.raw	104.577834419821
Y3088_LG4_r67_noInfo.raw	104.320843265455
Y3088_LG4_r68_noInfo.raw	104.597374767915
Y3088_LG4_r69_noInfo.raw	181.642542931605
Y3088_LG4_r7_noInfo.raw	101.588035124418
Y3088_LG4_r70_noInfo.raw	101.046533386213
Y3088_LG4_r71_noInfo.raw	180.326751117816
Y3088_LG4_r72_noInfo.raw	100.342536335582
Y3088_LG4_r73_noInfo.raw	173.56434029287
Y3088_LG4_r74_noInfo.raw	182.138713359178
Y3088_LG4_r75_noInfo.raw	172.009246034121
Y3088_LG4_r76_noInfo.raw	100.878557670823
Y3088_LG4_r77_noInfo.raw	101.748547380841
Y3088_LG4_r78_noInfo.raw	103.646817054632
Y3088_LG4_r79_noInfo.raw	100.735518983678
Y3088_LG4_r8_noInfo.raw	100.822454635742
Y3088_LG4_r80_noInfo.raw	100.763823864577
Y3088_LG4_r81_noInfo.raw	177.197605038586
Y3088_LG4_r82_noInfo.raw	100.656233425342
Y3088_LG4_r83_noInfo.raw	204.713966428627
Y3088_LG4_r84_noInfo.raw	201.549123223954
Y3088_LG4_r85_noInfo.raw	183.613977779003
Y3088_LG4_r86_noInfo.raw	194.475724797816
Y3088_LG4_r87_noInfo.raw	184.325025609423
Y3088_LG4_r88_noInfo.raw	101.934497935409
Y3088_LG4_r89_noInfo.raw	201.511082640056
Y3088_LG4_r9_noInfo.raw	100.365028664652
Y3088_LG4_r90_noInfo.raw	175.737728199582
Y3088_LG4_r91_noInfo.raw	171.9583522754
Y3088_LG4_r92_noInfo.raw	100.665724316781
Y3088_LG4_r93_noInfo.raw	100.522056674514
Y3088_LG4_r94_noInfo.raw	101.026953296636
Y3088_LG4_r95_noInfo.raw	104.567200041798
Y3088_LG4_r96_noInfo.raw	180.610315074417
Y3088_LG4_r97_noInfo.raw	182.98621166822
Y3088_LG4_r98_noInfo.raw	103.997130468149
Y3088_LG4_r99_noInfo.raw	209.367045422304
