File	Length_cM
Y3088_LG4_noSus_r1_noInfo.raw	100.916958644379
Y3088_LG4_noSus_r10_noInfo.raw	105.301754089663
Y3088_LG4_noSus_r100_noInfo.raw	99.7953023752046
Y3088_LG4_noSus_r11_noInfo.raw	101.209549395138
Y3088_LG4_noSus_r12_noInfo.raw	104.878654291261
Y3088_LG4_noSus_r13_noInfo.raw	100.898616804228
Y3088_LG4_noSus_r14_noInfo.raw	100.423627188762
Y3088_LG4_noSus_r15_noInfo.raw	99.813142555985
Y3088_LG4_noSus_r16_noInfo.raw	100.797630466664
Y3088_LG4_noSus_r17_noInfo.raw	100.296342438011
Y3088_LG4_noSus_r18_noInfo.raw	100.533924615707
Y3088_LG4_noSus_r19_noInfo.raw	104.539487007936
Y3088_LG4_noSus_r2_noInfo.raw	104.190627315171
Y3088_LG4_noSus_r20_noInfo.raw	100.219128106319
Y3088_LG4_noSus_r21_noInfo.raw	100.220901805191
Y3088_LG4_noSus_r22_noInfo.raw	100.304166083857
Y3088_LG4_noSus_r23_noInfo.raw	104.078176011403
Y3088_LG4_noSus_r24_noInfo.raw	100.121806402638
Y3088_LG4_noSus_r25_noInfo.raw	100.48072852355
Y3088_LG4_noSus_r26_noInfo.raw	104.382863594946
Y3088_LG4_noSus_r27_noInfo.raw	101.011191965575
Y3088_LG4_noSus_r28_noInfo.raw	101.565676932878
Y3088_LG4_noSus_r29_noInfo.raw	103.823253457504
Y3088_LG4_noSus_r3_noInfo.raw	100.304676862944
Y3088_LG4_noSus_r30_noInfo.raw	100.176010330228
Y3088_LG4_noSus_r31_noInfo.raw	101.133705377846
Y3088_LG4_noSus_r32_noInfo.raw	101.615121464774
Y3088_LG4_noSus_r33_noInfo.raw	101.284958254211
Y3088_LG4_noSus_r34_noInfo.raw	101.521362087437
Y3088_LG4_noSus_r35_noInfo.raw	100.771454251132
Y3088_LG4_noSus_r36_noInfo.raw	101.352375821934
Y3088_LG4_noSus_r37_noInfo.raw	100.4337708427
Y3088_LG4_noSus_r38_noInfo.raw	101.295648961741
Y3088_LG4_noSus_r39_noInfo.raw	100.336358940667
Y3088_LG4_noSus_r4_noInfo.raw	100.418366465271
Y3088_LG4_noSus_r40_noInfo.raw	104.296710433816
Y3088_LG4_noSus_r41_noInfo.raw	101.991200187772
Y3088_LG4_noSus_r42_noInfo.raw	104.959318593195
Y3088_LG4_noSus_r43_noInfo.raw	100.829859984587
Y3088_LG4_noSus_r44_noInfo.raw	101.433786902175
Y3088_LG4_noSus_r45_noInfo.raw	101.033092593154
Y3088_LG4_noSus_r46_noInfo.raw	101.607842346263
Y3088_LG4_noSus_r47_noInfo.raw	100.580368459027
Y3088_LG4_noSus_r48_noInfo.raw	100.496186543428
Y3088_LG4_noSus_r49_noInfo.raw	100.714910582352
Y3088_LG4_noSus_r5_noInfo.raw	104.647455364897
Y3088_LG4_noSus_r50_noInfo.raw	101.142202768788
Y3088_LG4_noSus_r51_noInfo.raw	101.148469808066
Y3088_LG4_noSus_r52_noInfo.raw	104.240850739281
Y3088_LG4_noSus_r53_noInfo.raw	100.703749527202
Y3088_LG4_noSus_r54_noInfo.raw	100.358039496616
Y3088_LG4_noSus_r55_noInfo.raw	104.059576099124
Y3088_LG4_noSus_r56_noInfo.raw	100.631161026735
Y3088_LG4_noSus_r57_noInfo.raw	100.296605610502
Y3088_LG4_noSus_r58_noInfo.raw	101.791835199013
Y3088_LG4_noSus_r59_noInfo.raw	101.150046806092
Y3088_LG4_noSus_r6_noInfo.raw	101.215017879279
Y3088_LG4_noSus_r60_noInfo.raw	104.829364210432
Y3088_LG4_noSus_r61_noInfo.raw	102.278286674747
Y3088_LG4_noSus_r62_noInfo.raw	104.349187970272
Y3088_LG4_noSus_r63_noInfo.raw	101.380137360533
Y3088_LG4_noSus_r64_noInfo.raw	105.368978154403
Y3088_LG4_noSus_r65_noInfo.raw	99.6160266911506
Y3088_LG4_noSus_r66_noInfo.raw	101.615873215746
Y3088_LG4_noSus_r67_noInfo.raw	104.444074157593
Y3088_LG4_noSus_r68_noInfo.raw	100.555734539094
Y3088_LG4_noSus_r69_noInfo.raw	104.653492533647
Y3088_LG4_noSus_r7_noInfo.raw	100.94162912244
Y3088_LG4_noSus_r70_noInfo.raw	100.986473007568
Y3088_LG4_noSus_r71_noInfo.raw	100.836023884478
Y3088_LG4_noSus_r72_noInfo.raw	105.216737353562
Y3088_LG4_noSus_r73_noInfo.raw	100.199423563532
Y3088_LG4_noSus_r74_noInfo.raw	105.280167204734
Y3088_LG4_noSus_r75_noInfo.raw	100.81112084468
Y3088_LG4_noSus_r76_noInfo.raw	100.574386053954
Y3088_LG4_noSus_r77_noInfo.raw	104.203844906035
Y3088_LG4_noSus_r78_noInfo.raw	97.3922351129804
Y3088_LG4_noSus_r79_noInfo.raw	100.842742359757
Y3088_LG4_noSus_r8_noInfo.raw	100.145717572376
Y3088_LG4_noSus_r80_noInfo.raw	102.02442634307
Y3088_LG4_noSus_r81_noInfo.raw	100.775283335529
Y3088_LG4_noSus_r82_noInfo.raw	104.40011269285
Y3088_LG4_noSus_r83_noInfo.raw	100.721595962304
