#MQR=Median Quartile Range: difference between median and first quartile.
#MLD=Median Linear Discriminant: same as FLD except using MQR values instead of IQR.
#%guid=5fcc9e12-124e-43bb-8357-6b4baf2781a3
cel_files	axiom_signal_contrast_AT_B_MQR	axiom_signal_contrast_AT_B	axiom_signal_contrast_AT_MLD	axiom_signal_contrast_AT_SBR	axiom_signal_contrast_AT_S_MQR	axiom_signal_contrast_AT_S	axiom_signal_contrast_A_signal_mean	axiom_signal_contrast_C_signal_mean	axiom_signal_contrast_GC_B_MQR	axiom_signal_contrast_GC_B	axiom_signal_contrast_GC_MLD	axiom_signal_contrast_GC_SBR	axiom_signal_contrast_GC_S_MQR	axiom_signal_contrast_GC_S	axiom_signal_contrast_G_signal_mean	axiom_signal_contrast_T_signal_mean	axiom_dishqc_DQC	axiom_dishqc_log_diff_qc	saturation_GC	saturation_AT	axiom_varscore_CV_GC	axiom_varscore_CV_AT	affymetrix-scan-date
a551475-4501047-031026-128_A01.CEL	94.00000	417.27124	2.90659	1.85521	254.00000	774.12500	770.83871	1379.66123	88.00000	345.30856	9.25909	4.16859	372.00000	1439.44935	1488.56101	777.73759	0.92061	3.70375	0.00256	0.00000	0.14574	0.09250	2024-04-17T17:48:37Z
a551475-4501047-031026-128_A02.CEL	95.00000	405.34886	2.68281	1.80044	234.00000	729.80800	729.07097	1264.75725	81.00000	324.50338	9.18220	4.10764	347.00000	1332.94281	1388.95238	730.61820	0.90878	3.56200	0.00220	0.00000	0.14400	0.08770	2024-04-17T17:49:46Z
a551475-4501047-031026-128_A03.CEL	92.00000	422.44771	3.43498	2.02322	305.00000	854.70383	852.94516	1587.27717	87.00000	348.89133	10.26653	4.82579	468.00000	1683.67565	1762.86012	856.63712	0.94932	3.81939	0.00391	0.00000	0.14315	0.07606	2024-04-17T17:50:20Z
a551475-4501047-031026-128_A04.CEL	82.00000	377.83170	2.95845	1.79846	216.00000	679.51577	679.25699	1158.01630	77.00000	298.00056	9.53567	4.02961	293.00000	1200.82516	1235.98958	679.80024	0.92399	3.67943	0.00214	0.00000	0.14919	0.08912	2024-04-17T17:50:55Z
a551475-4501047-031026-128_A05.CEL	91.00000	407.23611	2.89845	1.84133	244.00000	749.85642	745.87957	1276.87862	91.00000	339.55518	8.68431	4.00390	371.00000	1359.54330	1427.44643	754.22813	0.92568	3.58708	0.00251	0.00000	0.19918	0.11081	2024-04-17T17:51:30Z
a551475-4501047-031026-128_A06.CEL	98.00000	425.54820	3.23578	1.88362	247.00000	801.57264	795.65484	1420.97101	92.00000	349.35642	8.44942	4.29212	445.00000	1499.47876	1563.96726	808.07801	0.91892	3.58219	0.00291	0.00000	0.14474	0.08745	2024-04-17T17:52:04Z
a551475-4501047-031026-128_A07.CEL	98.00000	424.33742	2.94648	1.95071	293.00000	827.76014	824.77527	1676.87500	110.00000	405.99887	9.81486	4.29749	468.00000	1744.77451	1800.54911	831.04137	0.92399	3.61405	0.00483	0.00000	0.14226	0.07285	2024-04-17T17:52:38Z
a551475-4501047-031026-128_A08.CEL	83.00000	384.43873	2.80638	1.78416	215.00000	685.89977	684.02366	1154.32428	80.00000	308.06926	10.38211	3.92542	298.00000	1209.30147	1254.46131	687.96217	0.91554	3.58816	0.00188	0.00000	0.13911	0.08354	2024-04-17T17:53:13Z
a551475-4501047-031026-128_A09.CEL	100.00000	420.10458	2.95537	1.90585	270.00000	800.65428	796.03441	1428.95471	90.00000	348.74268	8.47706	4.32882	433.00000	1509.64542	1575.92708	805.73286	0.91892	3.57727	0.00324	0.00000	0.15260	0.07949	2024-04-17T17:53:47Z
a551475-4501047-031026-128_A10.CEL	99.00000	426.69444	2.56294	1.76808	231.00000	754.42793	751.91720	1257.12862	85.00000	336.83446	8.20680	3.89476	338.00000	1311.88889	1356.87054	757.18794	0.88682	3.26735	0.00249	0.00000	0.14802	0.08842	2024-04-17T17:54:21Z
