#MQR=Median Quartile Range: difference between median and first quartile.
#MLD=Median Linear Discriminant: same as FLD except using MQR values instead of IQR.
#%guid=7cf766a6-a6fa-4ceb-7b5c-9060b8d6673b
cel_files	axiom_signal_contrast_AT_B_MQR	axiom_signal_contrast_AT_B	axiom_signal_contrast_AT_MLD	axiom_signal_contrast_AT_SBR	axiom_signal_contrast_AT_S_MQR	axiom_signal_contrast_AT_S	axiom_signal_contrast_A_signal_mean	axiom_signal_contrast_C_signal_mean	axiom_signal_contrast_GC_B_MQR	axiom_signal_contrast_GC_B	axiom_signal_contrast_GC_MLD	axiom_signal_contrast_GC_SBR	axiom_signal_contrast_GC_S_MQR	axiom_signal_contrast_GC_S	axiom_signal_contrast_G_signal_mean	axiom_signal_contrast_T_signal_mean	axiom_dishqc_DQC	axiom_dishqc_log_diff_qc	saturation_GC	saturation_AT	axiom_varscore_CV_GC	axiom_varscore_CV_AT	affymetrix-scan-date
a551475-4501047-031026-130_A01.CEL	935.69995	4635.39328	2.97347	1.93453	3185.29980	8967.31276	8942.98203	7862.54728	565.80005	1648.32050	4.97187	4.97415	2859.69995	8198.98636	8475.34703	8994.05931	0.86824	3.22123	0.24904	0.51326	0.52756	0.14544	2024-04-17T17:56:21Z
a551475-4501047-031026-130_A02.CEL	778.50000	3628.63308	2.26653	1.70472	2059.00000	6185.81487	6179.89587	5593.20868	407.20001	1512.26572	6.96107	3.89936	1627.69995	5896.87433	6146.31397	6192.32158	0.89696	3.38715	0.16832	0.37668	0.25093	0.11259	2024-04-17T17:57:19Z
a551475-4501047-031026-130_A03.CEL	925.00000	4119.50243	2.63858	1.87127	2832.99976	7708.71466	7710.10502	8155.81375	514.30005	1881.85885	8.77822	4.58245	2273.99976	8623.52932	9007.72425	7707.18625	0.91554	3.66069	0.29583	0.46319	0.19790	0.10464	2024-04-17T17:57:34Z
a551475-4501047-031026-130_A04.CEL	1008.69995	4427.73118	2.71413	1.88949	2953.50000	8366.14473	8314.41406	9039.59093	501.70001	1955.91392	8.70822	4.85372	2626.00000	9493.44918	9866.26131	8423.01179	0.92399	3.63607	0.31395	0.49006	0.14876	0.08932	2024-04-17T17:57:49Z
a551475-4501047-031026-130_A05.CEL	1121.30005	4870.57619	3.27793	2.04859	3657.00000	9977.81277	9887.64516	11144.63624	649.00000	2312.63666	9.27306	5.13777	3198.50000	11881.78769	12487.30496	10076.93320	0.93412	3.71082	0.41053	0.56597	0.14875	0.07788	2024-04-17T17:58:04Z
a551475-4501047-031026-130_A06.CEL	1150.00000	4730.32538	2.59800	1.97941	3393.50000	9363.23777	9234.76665	10160.29494	515.70001	1994.76763	9.09055	5.51711	2872.20020	11005.35648	11699.51418	9504.46488	0.93581	3.74959	0.32493	0.50632	0.15330	0.08517	2024-04-17T17:58:19Z
a551475-4501047-031026-130_A07.CEL	989.50000	4111.67204	1.93863	1.76853	2589.50000	7271.61106	7223.28578	7185.87227	541.50000	1914.21656	6.11905	4.06032	2424.49976	7772.33766	8254.07708	7324.73459	0.90203	3.49256	0.24166	0.41956	0.27807	0.13907	2024-04-17T17:58:35Z
a551475-4501047-031026-130_A08.CEL	1021.19995	4531.55962	2.61870	1.83921	3035.29980	8334.47599	8215.34772	8808.27463	564.50006	2038.85997	7.89914	4.61914	2699.50000	9417.77704	9918.43974	8465.43260	0.92061	3.71319	0.31419	0.50045	0.16195	0.10112	2024-04-17T17:58:49Z
a551475-4501047-031026-130_A09.CEL	863.19995	3823.99427	2.72052	1.88347	2492.00000	7202.36859	7096.15716	7062.53603	454.00006	1678.87214	8.93056	4.47369	1936.29980	7510.75685	7878.93823	7319.12583	0.92736	3.59773	0.24000	0.43107	0.18811	0.11140	2024-04-17T17:59:04Z
a551475-4501047-031026-130_A10.CEL	1294.19995	5242.97235	2.85448	2.01268	3916.29980	10552.44099	10492.44311	12231.34676	688.50000	2367.96560	8.32843	5.52538	3854.79980	13083.90871	13784.22745	10618.39610	0.93074	3.78758	0.41187	0.57936	0.14674	0.08765	2024-04-17T17:59:19Z
