#MQR=Median Quartile Range: difference between median and first quartile.
#MLD=Median Linear Discriminant: same as FLD except using MQR values instead of IQR.
#%guid=688aa5d9-6c50-4a86-a0df-a21642389017
cel_files	axiom_signal_contrast_AT_B_MQR	axiom_signal_contrast_AT_B	axiom_signal_contrast_AT_MLD	axiom_signal_contrast_AT_SBR	axiom_signal_contrast_AT_S_MQR	axiom_signal_contrast_AT_S	axiom_signal_contrast_A_signal_mean	axiom_signal_contrast_C_signal_mean	axiom_signal_contrast_GC_B_MQR	axiom_signal_contrast_GC_B	axiom_signal_contrast_GC_MLD	axiom_signal_contrast_GC_SBR	axiom_signal_contrast_GC_S_MQR	axiom_signal_contrast_GC_S	axiom_signal_contrast_G_signal_mean	axiom_signal_contrast_T_signal_mean	axiom_dishqc_DQC	axiom_dishqc_log_diff_qc	saturation_GC	saturation_AT	axiom_varscore_CV_GC	axiom_varscore_CV_AT	affymetrix-scan-date
a551475-4466930-092824-659_A01.CEL	77.00000	333.60784	2.35918	1.72403	154.00000	575.15034	574.99355	921.91667	81.00000	288.74887	5.37122	3.36667	238.00000	972.12173	1013.36161	575.32270	0.86149	3.17282	0.00183	0.00000	0.14580	0.09515	2023-03-23T20:04:40Z
a551475-4466930-092824-659_A02.CEL	76.00000	349.45915	1.94636	1.56074	145.00000	545.41554	547.70753	763.62138	71.00000	264.96791	5.05346	2.99693	184.00000	794.09069	819.11905	542.89598	0.80912	2.88708	0.00166	0.00000	0.19134	0.10053	2023-03-23T20:05:46Z
a551475-4466930-092824-659_A03.CEL	88.00000	396.45752	2.03944	1.59874	173.00000	633.83390	635.19570	948.75543	90.00000	347.64189	4.80665	2.87821	261.00000	1000.58660	1043.16220	632.33688	0.80743	2.82447	0.00236	0.00000	0.19570	0.09058	2023-03-23T20:06:22Z
a551475-4466930-092824-659_A04.CEL	74.00000	331.81944	2.18458	1.62256	140.00000	538.39583	536.36344	749.75543	59.00000	249.17230	5.38461	3.21922	198.00000	802.14134	845.17262	540.63002	0.83784	2.98676	0.00120	0.00000	0.14909	0.09366	2023-03-23T20:07:45Z
a551475-4466930-092824-659_A05.CEL	79.00000	362.83497	2.60229	1.72999	158.00000	627.69989	624.32581	981.44022	85.00000	361.99718	4.94270	2.83604	265.00000	1026.63807	1063.76488	631.40898	0.79392	2.78655	0.00255	0.00000	0.22803	0.08071	2023-03-23T20:08:17Z
a551475-4466930-092824-659_A06.CEL	92.00000	393.66095	2.30273	1.70174	178.00000	669.90822	666.74409	1010.45290	80.00000	306.60304	6.29489	3.48796	241.00000	1069.41830	1117.85417	673.38652	0.86655	3.13763	0.00237	0.00000	0.13764	0.07764	2023-03-23T20:08:51Z
a551475-4466930-092824-659_A07.CEL	106.00000	464.86520	1.97615	1.56556	181.00000	727.77309	721.70968	1153.80254	130.00000	453.38514	4.72592	2.71619	326.00000	1231.48121	1295.28869	734.43853	0.78885	2.73916	0.00289	0.00000	0.18821	0.07408	2023-03-23T20:09:24Z
a551475-4466930-092824-659_A08.CEL	84.00000	386.46405	1.93267	1.54892	150.00000	598.60079	593.71828	839.53804	81.00000	309.18243	4.52199	2.86109	232.00000	884.59804	921.61161	603.96809	0.80743	2.83365	0.00196	0.00000	0.18730	0.09076	2023-03-23T20:09:58Z
a551475-4466930-092824-659_A09.CEL	87.00000	393.18464	2.12683	1.58613	158.00000	623.64077	621.82796	929.60688	103.00000	372.78378	4.42795	2.63655	261.00000	982.86193	1026.60714	625.63357	0.81419	2.75711	0.00233	0.00000	0.20465	0.07386	2023-03-23T20:10:32Z
a551475-4466930-092824-659_A10.CEL	79.00000	340.69118	1.79633	1.60518	142.00000	546.86993	547.80753	732.52536	68.00000	257.39809	4.47427	3.03222	183.00000	780.48775	819.88542	545.83924	0.79054	2.78692	0.00174	0.00000	0.14671	0.07809	2023-03-23T20:11:05Z
a551475-4466930-092824-659_A11.CEL	100.00000	433.83007	2.11143	1.58203	167.00000	686.33221	682.79032	1013.81703	104.00000	375.07883	5.70433	2.83073	245.00000	1061.74755	1101.11905	690.22577	0.82264	2.90629	0.00243	0.00000	0.16794	0.06639	2023-03-23T20:11:52Z
a551475-4466930-092824-659_A12.CEL	78.00000	349.70915	2.52517	1.74236	159.00000	609.31813	603.43871	909.93116	74.00000	309.22635	5.34309	3.08129	240.00000	952.81699	988.04464	615.78132	0.84122	2.94618	0.00261	0.00000	0.18242	0.06852	2023-03-23T20:12:26Z
a551475-4466930-092824-659_A13.CEL	49.00000	225.69935	2.55731	1.71852	104.00000	387.86824	386.30753	453.44022	46.00000	183.66836	4.84812	2.59040	122.00000	475.77369	494.11905	389.58392	0.83615	2.89804	0.00010	0.00000	0.18158	0.06991	2023-03-23T20:12:59Z
