#MQR=Median Quartile Range: difference between median and first quartile.
#MLD=Median Linear Discriminant: same as FLD except using MQR values instead of IQR.
#%guid=7bc19686-c136-435b-3c3e-be75d2cbfa33
cel_files	axiom_signal_contrast_AT_B_MQR	axiom_signal_contrast_AT_B	axiom_signal_contrast_AT_MLD	axiom_signal_contrast_AT_SBR	axiom_signal_contrast_AT_S_MQR	axiom_signal_contrast_AT_S	axiom_signal_contrast_A_signal_mean	axiom_signal_contrast_C_signal_mean	axiom_signal_contrast_GC_B_MQR	axiom_signal_contrast_GC_B	axiom_signal_contrast_GC_MLD	axiom_signal_contrast_GC_SBR	axiom_signal_contrast_GC_S_MQR	axiom_signal_contrast_GC_S	axiom_signal_contrast_G_signal_mean	axiom_signal_contrast_T_signal_mean	axiom_dishqc_DQC	axiom_dishqc_log_diff_qc	saturation_GC	saturation_AT	axiom_varscore_CV_GC	axiom_varscore_CV_AT	affymetrix-scan-date
a551475-4466930-092824-661_A01.CEL	52.00000	256.08824	3.34505	1.81442	144.00000	464.65146	460.58925	804.21014	58.00000	195.33333	5.61633	4.19647	268.00000	819.71078	832.44345	469.11702	0.87162	3.26047	0.00017	0.00000	0.27111	0.14674	2024-04-17T17:53:30Z
a551475-4466930-092824-661_A02.CEL	41.00000	216.68627	3.19596	1.79489	121.00000	388.92905	384.25914	694.02717	46.00000	179.30856	6.04359	3.84717	214.00000	689.83007	686.38244	394.06265	0.88851	3.37810	0.00011	0.00000	0.16979	0.07972	2024-04-17T17:55:11Z
a551475-4466930-092824-661_A03.CEL	47.00000	221.45670	3.26415	1.84456	127.00000	408.49099	404.59032	737.28080	49.00000	197.75788	7.03196	3.74333	212.00000	740.27369	742.73214	412.77896	0.89527	3.38452	0.00012	0.00000	0.17492	0.07993	2024-04-17T17:55:46Z
a551475-4466930-092824-661_A04.CEL	48.00000	234.58007	3.66966	1.98413	154.00000	465.43637	460.99140	869.37319	49.00000	195.73029	7.75243	4.63285	251.00000	906.79003	937.52530	470.32270	0.91047	3.45772	0.00031	0.00000	0.16022	0.09018	2024-04-17T17:56:21Z
a551475-4466930-092824-661_A05.CEL	50.00000	249.01634	2.96188	1.74300	130.00000	434.03604	430.32043	777.64674	58.00000	233.77759	6.53434	3.34918	231.00000	782.96405	787.33185	438.12057	0.88007	3.23019	0.00024	0.00000	0.20356	0.09502	2024-04-17T17:57:12Z
a551475-4466930-092824-661_A06.CEL	45.00000	219.63889	3.62072	2.02769	151.00000	445.35923	443.35376	832.41486	47.00000	182.02421	8.25639	4.65200	227.00000	846.77614	858.57292	447.56383	0.92061	3.48497	0.00016	0.00000	0.16216	0.07589	2024-04-17T17:57:49Z
a551475-4466930-092824-661_A07.CEL	46.00000	214.42157	2.97424	1.80165	122.00000	386.31363	381.01075	728.91667	56.00000	209.54786	6.47552	3.53874	218.00000	741.53513	751.90030	392.14303	0.90372	3.37135	0.00012	0.00000	0.17560	0.07676	2024-04-17T17:58:24Z
a551475-4466930-092824-661_A08.CEL	47.00000	224.86683	2.97876	1.82679	132.00000	410.78547	405.25806	768.15942	48.00000	194.02309	7.10703	4.02070	223.00000	780.10948	789.92560	416.86170	0.90372	3.48849	0.00013	0.00000	0.15807	0.08717	2024-04-17T17:58:58Z
a551475-4466930-092824-661_A09.CEL	43.00000	214.61111	3.21802	1.81595	119.00000	389.72410	383.69892	701.15942	52.00000	194.41836	7.55516	3.59005	185.00000	697.97222	695.35417	396.34752	0.89527	3.39333	0.00014	0.00000	0.17827	0.07362	2024-04-17T17:59:33Z
a551475-4466930-092824-661_A10.CEL	51.00000	242.65768	3.63011	1.93126	152.00000	468.63514	463.69892	898.99638	53.00000	210.71059	7.30853	4.38251	278.00000	923.44118	943.52083	474.06147	0.92905	3.58427	0.00080	0.00000	0.15094	0.08531	2024-04-17T18:00:08Z
a551475-4466930-092824-661_A11.CEL	48.00000	234.61275	3.40608	1.96007	156.00000	459.85698	453.25914	898.17391	53.00000	206.54561	8.11354	4.43427	258.00000	915.87990	930.42411	467.10993	0.92736	3.63284	0.00024	0.00000	0.14343	0.08131	2024-04-17T18:00:41Z
a551475-4466930-092824-661_A12.CEL	48.00000	245.76062	2.95344	1.77598	141.00000	436.46622	432.91828	745.14130	61.00000	218.07095	6.06197	3.52341	223.00000	768.35294	787.41964	440.36643	0.88176	3.29575	0.00046	0.00000	0.17073	0.08908	2024-04-17T18:01:16Z
a551475-4466930-092824-661_A13.CEL	49.00000	237.10212	3.56789	2.00206	160.00000	474.69369	471.66237	913.70652	54.00000	221.31869	7.56861	4.26582	277.00000	944.10539	969.07589	478.02600	0.91554	3.49006	0.00065	0.00000	0.16771	0.08200	2024-04-17T18:01:50Z
a551475-4466930-092824-661_A14.CEL	55.00000	259.14297	4.34363	2.15141	190.00000	557.52365	551.33978	1192.26630	54.00000	220.94876	8.74978	5.55803	354.00000	1228.04003	1257.42560	564.32151	0.90709	3.44980	0.00093	0.00000	0.13685	0.08132	2024-04-17T18:02:26Z
a551475-4466930-092824-661_A15.CEL	43.00000	212.38235	2.99103	1.80933	124.00000	384.26914	382.04624	683.73007	52.00000	195.23029	6.43891	3.56634	203.00000	696.25735	706.54762	386.71277	0.89189	3.30084	0.00013	0.00000	0.17897	0.08257	2024-04-17T18:03:15Z
a551475-4466930-092824-661_A16.CEL	46.00000	230.87500	3.33056	1.90338	148.00000	439.44257	434.52903	837.16848	51.00000	198.21453	7.42178	4.28420	237.00000	849.19118	859.06696	444.84397	0.88851	3.35642	0.00016	0.00000	0.16327	0.10047	2024-04-17T18:03:49Z
a551475-4466930-092824-661_A17.CEL	46.00000	215.66095	3.54736	2.03996	152.00000	439.94032	434.02688	841.25906	53.00000	208.07207	8.46186	4.16017	232.00000	865.61601	885.62351	446.44090	0.91047	3.41528	0.00010	0.00000	0.18325	0.08473	2024-04-17T18:04:24Z
a551475-4466930-092824-661_A18.CEL	43.00000	207.05964	3.21120	1.87614	125.00000	388.47185	383.62043	695.53986	48.00000	177.98423	7.29024	3.95314	191.00000	703.59722	710.21577	393.80496	0.90203	3.44379	0.00010	0.00000	0.16318	0.09920	2024-04-17T18:04:57Z
a551475-4466930-092824-661_A19.CEL	42.00000	212.59967	3.12645	1.84843	131.00000	392.97466	387.87419	757.09601	51.00000	199.41498	7.07196	3.80253	218.00000	758.28105	759.25446	398.58156	0.88851	3.37595	0.00011	0.00000	0.19792	0.09915	2024-04-17T18:05:31Z
a551475-4466930-092824-661_A20.CEL	49.00000	242.88072	3.70987	1.95432	157.00000	474.66779	469.72796	906.86413	51.00000	201.34009	8.46383	4.57454	257.00000	921.03922	932.68304	480.09811	0.90709	3.45029	0.00018	0.00000	0.17648	0.08749	2024-04-17T18:06:04Z
a551475-4466930-092824-661_A21.CEL	43.00000	210.21814	3.18768	1.83867	123.00000	386.52083	385.55054	661.17029	44.00000	175.38401	7.16279	3.84315	197.00000	674.02696	684.58780	387.58747	0.89189	3.39179	0.00010	0.00000	0.23549	0.10265	2024-04-17T18:06:40Z
a551475-4466930-092824-661_A22.CEL	41.00000	187.54657	3.02668	1.89993	120.00000	356.32601	352.78065	587.30254	42.00000	150.43525	6.42167	3.98622	173.00000	599.66748	609.82440	360.22340	0.88851	3.35849	0.00009	0.00000	0.20119	0.09701	2024-04-17T18:07:14Z
a551475-4466930-092824-661_A23.CEL	46.00000	220.20997	3.60024	2.04391	157.00000	450.08840	447.71183	800.51449	46.00000	169.03322	8.51128	4.79159	211.00000	809.93709	817.67708	452.70095	0.90878	3.47152	0.00014	0.00000	0.24130	0.11095	2024-04-17T18:07:48Z
a551475-4466930-092824-661_A24.CEL	40.00000	194.36601	3.93103	2.01530	125.00000	391.70664	388.86882	511.91486	41.00000	124.72241	4.93158	4.19703	166.00000	523.46324	532.94940	394.82624	0.85135	3.06183	0.00003	0.00000	0.48592	0.11174	2024-04-17T18:08:23Z
a551475-4466930-092824-661_C01.CEL	50.00000	232.90605	3.14162	1.86982	141.00000	435.49324	428.23011	815.94022	50.00000	196.53209	7.06119	4.23988	244.00000	833.27206	847.50893	443.47754	0.90709	3.48390	0.00078	0.00000	0.15238	0.08075	2024-04-17T18:23:02Z
a551475-4466930-092824-661_C02.CEL	56.00000	267.68791	3.51524	1.83962	153.00000	492.44482	490.11398	926.58514	63.00000	250.96227	7.13908	3.77914	272.00000	948.42157	966.35863	495.00709	0.89527	3.33926	0.00190	0.00000	0.19181	0.08037	2024-04-17T18:23:36Z
a551475-4466930-092824-661_C03.CEL	42.00000	220.32435	3.58596	1.95247	141.00000	430.17680	425.38065	816.82246	43.00000	182.91723	7.46634	4.58629	241.00000	838.91176	857.05655	435.44917	0.91723	3.50720	0.00074	0.00000	0.14827	0.09080	2024-04-17T18:24:11Z
a551475-4466930-092824-661_C04.CEL	44.00000	219.29575	3.24850	1.83319	128.00000	402.01014	398.55591	729.28442	51.00000	209.29336	7.21111	3.55069	209.00000	743.13562	754.51339	405.80733	0.89189	3.36462	0.00037	0.00000	0.19791	0.08106	2024-04-17T18:24:48Z
a551475-4466930-092824-661_C05.CEL	42.00000	217.06863	3.35464	1.96101	147.00000	425.67342	421.59247	769.97645	44.00000	181.22635	7.54238	4.41005	222.00000	799.21732	823.23661	430.15957	0.91723	3.54760	0.00123	0.00000	0.15594	0.09069	2024-04-17T18:25:36Z
a551475-4466930-092824-661_C06.CEL	42.00000	216.37582	3.11708	1.77192	113.00000	383.39977	381.36022	683.64674	51.00000	222.64527	6.22463	3.11905	197.00000	694.44199	703.30952	385.64184	0.86993	3.17524	0.00142	0.00000	0.20675	0.07486	2024-04-17T18:26:25Z
a551475-4466930-092824-661_C07.CEL	52.00000	242.34477	3.39373	1.92271	153.00000	465.95946	459.57419	912.99457	56.00000	220.43187	7.45389	4.25535	264.00000	938.01471	958.56696	472.97872	0.92230	3.49789	0.00131	0.00000	0.18050	0.08173	2024-04-17T18:27:00Z
a551475-4466930-092824-661_C08.CEL	56.00000	245.68954	3.34150	1.97760	164.00000	485.87444	477.37097	941.39674	57.00000	272.09854	7.40777	3.59365	275.00000	977.82761	1007.75298	495.22222	0.90203	3.34744	0.00098	0.00000	0.20191	0.07981	2024-04-17T18:27:35Z
a551475-4466930-092824-661_C09.CEL	43.00000	212.09641	3.28792	1.91942	132.00000	407.10248	404.28387	739.35507	44.00000	173.59797	6.66543	4.34808	218.00000	754.81863	767.52083	410.20095	0.89865	3.43062	0.00067	0.00000	0.16035	0.09310	2024-04-17T18:28:09Z
a551475-4466930-092824-661_C10.CEL	39.00000	206.09069	3.14646	1.78105	116.00000	367.05687	363.19247	634.62862	44.00000	190.40766	7.31414	3.42815	179.00000	652.74510	667.62649	371.30496	0.89358	3.29284	0.00127	0.00000	0.21306	0.08702	2024-04-17T18:28:44Z
a551475-4466930-092824-661_C11.CEL	56.00000	268.22386	3.27585	1.84856	165.00000	495.82827	491.32366	930.89130	66.00000	265.17061	6.75371	3.63341	295.00000	963.47467	990.23958	500.78014	0.89020	3.24081	0.00191	0.00000	0.21925	0.08096	2024-04-17T18:29:19Z
a551475-4466930-092824-661_C12.CEL	49.00000	236.68301	3.49990	2.00934	168.00000	475.57545	469.50430	901.12862	51.00000	203.22973	8.16755	4.61699	256.00000	938.31046	968.85268	482.24941	0.92399	3.62088	0.00131	0.00000	0.15809	0.09294	2024-04-17T18:29:54Z
a551475-4466930-092824-661_C13.CEL	50.00000	247.46650	3.94247	1.99595	156.00000	493.93018	489.39462	984.99819	51.00000	262.37331	8.27658	3.84857	258.00000	1009.76144	1030.10268	498.91608	0.91554	3.50443	0.00101	0.00000	0.14753	0.07981	2024-04-17T18:30:28Z
a551475-4466930-092824-661_C14.CEL	50.00000	250.77042	3.27400	1.76504	139.00000	442.62050	440.17097	807.39493	59.00000	258.74437	6.56084	3.21799	251.00000	832.63725	853.37202	445.31324	0.86824	3.13197	0.00197	0.00000	0.20652	0.08189	2024-04-17T18:31:04Z
a551475-4466930-092824-661_C15.CEL	43.00000	214.67484	3.21850	1.94400	141.00000	417.32770	411.74516	757.15580	44.00000	178.51182	7.39127	4.34396	214.00000	775.44771	790.47321	423.46454	0.90878	3.51001	0.00113	0.00000	0.16077	0.09687	2024-04-17T18:31:41Z
a551475-4466930-092824-661_C16.CEL	41.00000	207.04493	3.14088	1.80049	115.00000	372.78322	368.47204	664.37138	45.00000	206.70664	5.94612	3.26994	211.00000	675.91912	685.40476	377.52246	0.85642	3.11192	0.00010	0.00000	0.20400	0.08045	2024-04-17T18:32:30Z
a551475-4466930-092824-661_C17.CEL	47.00000	221.77696	3.57279	1.98894	146.00000	441.10023	433.72473	847.88587	44.00000	184.40935	7.15671	4.77322	255.00000	880.22549	906.79018	449.20804	0.92061	3.49407	0.00033	0.00000	0.14783	0.09850	2024-04-17T18:33:05Z
a551475-4466930-092824-661_C18.CEL	44.00000	219.05556	3.24500	1.84321	126.00000	403.76520	398.94946	734.00543	52.00000	215.87218	6.43583	3.50050	232.00000	755.66095	773.44940	409.05910	0.89865	3.31080	0.00094	0.00000	0.20220	0.07386	2024-04-17T18:33:40Z
a551475-4466930-092824-661_C19.CEL	44.00000	218.12092	3.94481	2.04104	147.00000	445.19313	439.60430	886.62138	44.00000	234.63739	8.60206	3.88675	226.00000	911.97631	932.80357	451.33688	0.93074	3.62543	0.00114	0.00000	0.14167	0.08215	2024-04-17T18:34:28Z
a551475-4466930-092824-661_C20.CEL	48.00000	248.00980	3.45484	1.87497	152.00000	465.01014	460.26989	864.11413	60.00000	254.30574	7.10236	3.52267	259.00000	895.83415	921.88988	470.22104	0.88345	3.24561	0.00187	0.00000	0.20838	0.07978	2024-04-17T18:35:01Z
a551475-4466930-092824-661_C21.CEL	38.00000	203.86765	3.58285	1.98792	136.00000	405.27309	400.05269	753.44022	45.00000	165.83277	7.19305	4.63996	219.00000	769.45670	782.61310	411.01182	0.90372	3.48064	0.00013	0.00000	0.15823	0.09915	2024-04-17T18:35:36Z
a551475-4466930-092824-661_C22.CEL	47.00000	216.89542	3.55321	1.90495	125.00000	413.17568	409.01613	739.07971	47.00000	195.30518	7.56774	3.89531	211.00000	760.77369	778.59375	417.74823	0.91723	3.49255	0.00123	0.00000	0.18339	0.08124	2024-04-17T18:36:12Z
a551475-4466930-092824-661_C23.CEL	49.00000	224.68219	4.04268	2.04494	149.00000	459.46171	457.36129	899.62500	49.00000	221.10473	9.89022	4.23482	236.00000	936.33905	966.49702	461.77069	0.91723	3.51135	0.00135	0.00000	0.20060	0.08009	2024-04-17T18:36:46Z
a551475-4466930-092824-661_C24.CEL	49.00000	240.97386	3.62278	1.97127	161.00000	475.02534	472.00323	915.11957	58.00000	223.29336	7.43726	4.23444	266.00000	945.52206	970.49554	478.34752	0.90709	3.44339	0.00018	0.00000	0.17396	0.08077	2024-04-17T18:37:20Z
a551475-4466930-092824-661_E01.CEL	46.00000	227.02042	2.77128	1.80082	127.00000	408.82207	406.32473	765.69565	53.00000	197.68356	5.83555	3.93261	232.00000	777.41258	787.03720	411.56738	0.89189	3.29746	0.00017	0.00000	0.19891	0.13906	2024-04-17T18:52:59Z
a551475-4466930-092824-661_E02.CEL	46.00000	237.95507	3.54860	1.83154	137.00000	435.82489	431.05376	785.65942	53.00000	222.14414	7.14539	3.62769	234.00000	805.86928	822.47024	441.06974	0.90034	3.40662	0.00154	0.00000	0.19238	0.07954	2024-04-17T18:53:35Z
a551475-4466930-092824-661_E03.CEL	39.00000	209.14461	3.60422	1.88698	124.00000	394.65203	389.88172	708.00543	41.00000	169.97128	7.89437	4.25168	193.00000	722.66340	734.70387	399.89598	0.90372	3.54207	0.00023	0.00000	0.16827	0.08983	2024-04-17T18:54:10Z
a551475-4466930-092824-661_E04.CEL	42.00000	214.67729	3.15281	1.83069	122.00000	393.00676	388.22043	690.38043	48.00000	193.80631	6.51440	3.62340	207.00000	702.23693	711.97619	398.26832	0.88514	3.27234	0.00085	0.00000	0.19785	0.07478	2024-04-17T18:54:44Z
a551475-4466930-092824-661_E05.CEL	43.00000	217.08252	3.49614	1.98104	147.00000	430.05011	426.29785	783.27174	42.00000	170.49212	7.85315	4.68877	226.00000	799.39788	812.64435	434.17494	0.93074	3.58691	0.00082	0.00000	0.14586	0.07347	2024-04-17T18:55:19Z
a551475-4466930-092824-661_E06.CEL	49.00000	248.03431	3.13725	1.74743	130.00000	433.42230	428.23011	779.84601	56.00000	251.39752	6.63006	3.14754	230.00000	791.28350	800.67857	439.13002	0.88007	3.11991	0.00160	0.00000	0.21398	0.08487	2024-04-17T18:55:54Z
a551475-4466930-092824-661_E07.CEL	53.00000	254.04412	4.54531	2.21286	198.00000	562.16385	558.03011	1197.40217	54.00000	224.53153	10.21225	5.49437	312.00000	1233.65850	1263.44048	566.70804	0.92230	3.58735	0.00210	0.00000	0.15503	0.07983	2024-04-17T18:56:29Z
a551475-4466930-092824-661_E08.CEL	41.00000	215.45016	3.08601	1.75866	117.00000	378.90428	374.37097	647.20833	48.00000	220.53322	6.39225	3.05520	182.00000	673.77206	695.59226	383.88771	0.86824	3.17203	0.00030	0.00000	0.19838	0.07762	2024-04-17T18:57:21Z
a551475-4466930-092824-661_E09.CEL	47.00000	230.81373	3.82755	2.00238	147.00000	462.17680	456.73763	806.88225	47.00000	207.52759	7.25140	3.99525	249.00000	829.12418	847.39435	468.15603	0.90878	3.42377	0.00066	0.00000	0.19328	0.08944	2024-04-17T18:57:56Z
a551475-4466930-092824-661_E10.CEL	40.00000	199.64869	3.49738	2.02998	138.00000	405.28266	402.79032	724.09964	35.00000	158.63964	6.95779	4.63232	220.00000	734.87010	743.71726	408.02246	0.92736	3.59840	0.00045	0.00000	0.16092	0.08799	2024-04-17T18:58:31Z
a551475-4466930-092824-661_E11.CEL	45.00000	231.37500	3.51445	1.95856	157.00000	453.16273	448.23656	847.54710	44.00000	183.24550	7.61819	4.76419	249.00000	873.01716	893.93899	458.57801	0.90034	3.42776	0.00029	0.00000	0.16479	0.08747	2024-04-17T18:59:06Z
a551475-4466930-092824-661_E12.CEL	40.00000	202.94363	2.92644	1.76920	113.00000	359.04842	354.99355	583.05435	42.00000	175.16554	6.01336	3.42817	180.00000	600.49755	614.82589	363.50591	0.88176	3.22805	0.00109	0.00000	0.19942	0.08091	2024-04-17T18:59:42Z
a551475-4466930-092824-661_E13.CEL	48.00000	239.76552	3.06738	1.89786	166.00000	455.04167	452.18495	839.88406	46.00000	213.69595	6.83201	4.04913	249.00000	865.28268	886.14583	458.18203	0.90709	3.49015	0.00159	0.00000	0.15450	0.08302	2024-04-17T19:00:32Z
a551475-4466930-092824-661_E14.CEL	46.00000	234.40359	2.96070	1.74828	121.00000	409.80236	405.29677	682.23370	54.00000	228.50113	6.37220	3.07347	201.00000	702.29248	718.76935	414.75532	0.85473	3.06534	0.00132	0.00000	0.21282	0.08815	2024-04-17T19:01:22Z
a551475-4466930-092824-661_E15.CEL	41.00000	210.42565	3.46939	1.99578	147.00000	419.96340	414.31398	779.37681	39.00000	170.06644	7.66066	4.62731	217.00000	786.95016	793.17113	426.17376	0.90709	3.47369	0.00038	0.00000	0.16972	0.09311	2024-04-17T19:01:56Z
a551475-4466930-092824-661_E16.CEL	40.00000	207.05801	3.03540	1.78948	121.00000	370.52703	366.02796	655.16304	48.00000	190.54054	6.39332	3.47840	199.00000	662.77614	669.02976	375.47281	0.88851	3.27876	0.00070	0.00000	0.21380	0.08675	2024-04-17T19:02:32Z
a551475-4466930-092824-661_E17.CEL	42.00000	218.35539	3.44181	1.90946	141.00000	416.94032	414.06989	746.00181	44.00000	174.85698	7.23335	4.43805	225.00000	776.02369	800.68452	420.09574	0.90709	3.51251	0.00124	0.00000	0.16173	0.09573	2024-04-17T19:03:06Z
a551475-4466930-092824-661_E18.CEL	46.00000	238.31699	3.10648	1.76054	125.00000	419.56757	414.04839	705.56159	54.00000	236.71002	6.56228	3.06537	203.00000	725.60458	742.06845	425.63475	0.86318	3.12880	0.00120	0.00000	0.20162	0.08993	2024-04-17T19:03:40Z
a551475-4466930-092824-661_E19.CEL	42.00000	207.39624	3.92950	2.01652	133.00000	418.21903	411.89570	753.66123	39.00000	198.37444	7.27528	3.85742	213.00000	765.21324	774.70238	425.17021	0.91554	3.51580	0.00011	0.00000	0.14791	0.07780	2024-04-17T19:04:30Z
a551475-4466930-092824-661_E20.CEL	42.00000	214.99673	3.03059	1.82210	129.00000	391.74606	388.40108	663.69928	47.00000	181.40315	6.18022	3.73923	204.00000	678.30801	690.30804	395.42317	0.90034	3.30336	0.00109	0.00000	0.19552	0.08475	2024-04-17T19:05:05Z
