#MQR=Median Quartile Range: difference between median and first quartile.
#MLD=Median Linear Discriminant: same as FLD except using MQR values instead of IQR.
#%guid=3de95cb2-36e4-4395-4106-83ef40646361
cel_files	axiom_signal_contrast_AT_B_MQR	axiom_signal_contrast_AT_B	axiom_signal_contrast_AT_MLD	axiom_signal_contrast_AT_SBR	axiom_signal_contrast_AT_S_MQR	axiom_signal_contrast_AT_S	axiom_signal_contrast_A_signal_mean	axiom_signal_contrast_C_signal_mean	axiom_signal_contrast_GC_B_MQR	axiom_signal_contrast_GC_B	axiom_signal_contrast_GC_MLD	axiom_signal_contrast_GC_SBR	axiom_signal_contrast_GC_S_MQR	axiom_signal_contrast_GC_S	axiom_signal_contrast_G_signal_mean	axiom_signal_contrast_T_signal_mean	axiom_dishqc_DQC	axiom_dishqc_log_diff_qc	saturation_GC	saturation_AT	axiom_varscore_CV_GC	axiom_varscore_CV_AT	affymetrix-scan-date
a551475-4457945-040924-699_A01.CEL	41.00000	210.11275	1.62632	1.42573	73.00000	299.56306	298.73441	333.91123	40.00000	145.00957	4.51629	2.38293	90.00000	345.54739	355.10565	300.47400	0.79561	2.89287	0.00000	0.00000	0.12022	0.10895	2023-03-23T12:08:12Z
a551475-4457945-040924-699_A02.CEL	44.00000	228.91095	1.33342	1.36873	75.00000	313.31644	313.22796	506.86413	65.00000	226.09628	3.71729	2.30426	136.00000	520.98448	532.58333	313.41371	0.76014	2.61038	0.00010	0.00000	0.18650	0.06990	2023-03-23T12:09:35Z
a551475-4457945-040924-699_A03.CEL	46.00000	238.73693	1.54984	1.41871	81.00000	338.69932	337.49032	592.98913	71.00000	255.86092	4.43973	2.41834	166.00000	618.75980	639.92857	340.02837	0.77365	2.63286	0.00011	0.00000	0.18438	0.06574	2023-03-23T12:10:24Z
a551475-4457945-040924-699_A04.CEL	46.00000	225.65768	1.26439	1.39925	78.00000	315.75113	313.60753	498.13587	59.00000	200.36205	4.72196	2.60340	124.00000	521.62255	540.91518	318.10757	0.82095	2.90990	0.00010	0.00000	0.13723	0.07421	2023-03-23T12:10:56Z
a551475-4457945-040924-699_A05.CEL	48.00000	261.08333	1.76528	1.43827	89.00000	375.50957	373.31183	674.16304	76.00000	294.16273	4.87917	2.42305	183.00000	712.77124	744.48512	377.92553	0.80068	2.73429	0.00011	0.00000	0.18547	0.05560	2023-03-23T12:11:27Z
a551475-4457945-040924-699_A06.CEL	46.00000	227.54167	1.62360	1.45024	83.00000	329.98986	328.75269	557.32790	57.00000	213.11261	5.33742	2.71440	144.00000	578.47304	595.84226	331.34988	0.86486	3.10618	0.00010	0.00000	0.14386	0.07009	2023-03-23T12:12:00Z
a551475-4457945-040924-699_A07.CEL	46.00000	234.89297	1.17267	1.36083	79.00000	319.64865	316.87312	568.12862	72.00000	271.06137	3.84272	2.17832	163.00000	590.45915	608.80208	322.69976	0.73311	2.42053	0.00011	0.00000	0.21373	0.07349	2023-03-23T12:12:33Z
a551475-4457945-040924-699_A08.CEL	45.00000	238.88807	1.54723	1.39750	81.00000	333.84572	333.47742	551.47645	63.00000	224.82770	4.77043	2.55377	147.00000	574.15850	592.79018	334.25059	0.83277	2.93318	0.00010	0.00000	0.15275	0.06561	2023-03-23T12:13:07Z
a551475-4457945-040924-699_A09.CEL	42.00000	231.45507	1.03111	1.30926	69.00000	303.03547	300.31075	518.47464	72.00000	269.53378	3.25949	2.02726	157.00000	546.41585	569.36756	306.03073	0.67399	2.23709	0.00010	0.00000	0.23198	0.06015	2023-03-23T12:13:39Z
a551475-4457945-040924-699_A10.CEL	52.00000	258.02533	0.61238	1.24533	75.00000	321.32770	316.88387	425.00906	63.00000	219.20383	3.51785	2.11342	102.00000	463.26879	494.69643	326.21277	0.60473	2.23405	0.00010	0.00000	0.13994	0.07664	2023-03-23T12:14:11Z
