#MQR=Median Quartile Range: difference between median and first quartile.
#MLD=Median Linear Discriminant: same as FLD except using MQR values instead of IQR.
#%guid=14955fe1-0242-45e6-7a4e-894b483dc1cb
cel_files	axiom_signal_contrast_AT_B_MQR	axiom_signal_contrast_AT_B	axiom_signal_contrast_AT_MLD	axiom_signal_contrast_AT_SBR	axiom_signal_contrast_AT_S_MQR	axiom_signal_contrast_AT_S	axiom_signal_contrast_A_signal_mean	axiom_signal_contrast_C_signal_mean	axiom_signal_contrast_GC_B_MQR	axiom_signal_contrast_GC_B	axiom_signal_contrast_GC_MLD	axiom_signal_contrast_GC_SBR	axiom_signal_contrast_GC_S_MQR	axiom_signal_contrast_GC_S	axiom_signal_contrast_G_signal_mean	axiom_signal_contrast_T_signal_mean	axiom_dishqc_DQC	axiom_dishqc_log_diff_qc	saturation_GC	saturation_AT	axiom_varscore_CV_GC	axiom_varscore_CV_AT	affymetrix-scan-date
a551475-4479665-042425-768_A01.CEL	633.30005	2683.50066	3.09650	1.92926	1800.29980	5177.17833	5298.27834	5904.93096	315.00000	1252.67647	8.25784	4.80509	1703.00000	6019.22759	6113.11411	5044.05421	0.91554	3.52424	0.20134	0.28067	0.17068	0.12154	2024-04-17T18:14:02Z
a551475-4479665-042425-768_A02.CEL	516.30005	2344.26398	2.79023	1.82418	1528.50000	4276.34811	4375.58298	4796.03767	279.50000	1185.85597	7.85368	4.15733	1407.50000	4929.99622	5040.03361	4167.26014	0.92399	3.61402	0.13674	0.19702	0.17354	0.12257	2024-04-17T18:14:59Z
a551475-4479665-042425-768_A03.CEL	564.80005	2592.03727	3.10029	1.96571	1886.79980	5095.18549	5141.71340	5886.60850	329.00000	1354.11864	9.20688	4.52527	1613.50000	6127.75186	6325.83391	5044.03778	0.91554	3.56725	0.22001	0.27059	0.17886	0.10830	2024-04-17T18:15:21Z
a551475-4479665-042425-768_A04.CEL	737.50000	2889.33701	2.91167	1.89669	1958.29980	5480.16319	5551.67598	6282.32879	338.00000	1339.32360	9.45257	4.81425	1700.79980	6447.83944	6583.79461	5401.54983	0.92061	3.50982	0.21758	0.31362	0.16542	0.11785	2024-04-17T18:15:36Z
a551475-4479665-042425-768_A05.CEL	472.80005	2180.81382	2.61237	1.84554	1502.00000	4024.78302	4102.39685	4215.03985	274.00000	1174.10597	6.61674	3.59620	1291.19995	4222.31829	4228.29700	3939.46286	0.87500	3.28078	0.12475	0.18252	0.22524	0.10556	2024-04-17T18:15:51Z
a551475-4479665-042425-768_A06.CEL	692.19995	2750.72983	2.90690	1.95653	1946.49976	5381.88639	5508.52544	6167.32825	330.00000	1291.01329	9.76470	4.90794	1559.00000	6336.21763	6474.94819	5242.67324	0.90709	3.45660	0.20844	0.29413	0.16267	0.10862	2024-04-17T18:16:07Z
a551475-4479665-042425-768_A07.CEL	573.50000	2555.38032	3.09244	1.86665	1656.69995	4770.01297	4856.40953	5624.76754	339.70001	1388.19837	9.23137	4.13599	1506.50000	5741.56983	5837.51456	4675.03802	0.91554	3.51755	0.20467	0.24753	0.18391	0.10211	2024-04-17T18:16:22Z
a551475-4479665-042425-768_A08.CEL	566.50000	2532.39797	2.72153	1.81970	1644.29980	4608.19354	4706.51502	5304.71104	294.70001	1266.55727	8.95816	4.26788	1439.19995	5405.51632	5488.32066	4500.10966	0.91047	3.59640	0.15665	0.23000	0.15639	0.10005	2024-04-17T18:16:37Z
a551475-4479665-042425-768_A09.CEL	544.69995	2470.20279	3.08566	1.92196	1682.29980	4747.62732	4865.97695	5663.37499	364.50000	1357.85620	7.94777	4.27046	1656.79980	5798.67506	5909.81440	4617.52667	0.92061	3.60025	0.20128	0.24149	0.18411	0.13045	2024-04-17T18:16:52Z
a551475-4479665-042425-768_A10.CEL	673.00000	2813.52803	3.20703	2.00133	2108.00000	5630.78661	5737.02587	6443.74256	312.79999	1289.42906	8.43193	5.17912	1900.00000	6678.10497	6870.61695	5513.99877	0.92568	3.53687	0.22136	0.31172	0.14164	0.09957	2024-04-17T18:17:14Z
