bin	mis
AX-601671694	1	1.92483959670027
AX-601671709	2	4.12465627864345
AX-389938569	3	0.183318056828598
AX-601671720	3	25.1145737855179
AX-602442804	3	17.4152153987168
AX-600017573	4	11.5490375802017
AX-601115205	4	9.71585701191567
AX-601621797	5	2.10815765352887
AX-117428620	6	3.48304307974335
AX-601619442	7	13.2905591200733
AX-388126556	7	13.9321723189734
AX-600424981	7	9.89917506874427
AX-612574982	7	0.0916590284142988
AX-602036546	7	26.4894592117324
AX-388677600	8	8.52428964252979
AX-117408954	8	1.37488542621448
AX-601016319	8	1.64986251145738
AX-612575058	8	2.47479376718607
AX-601005011	9	0.641613198900092
AX-601015902	9	11.7323556370302
AX-601015859	9	14.2988084326306
AX-601619384	10	16.6819431714024
AX-388441968	11	0
AX-601015511	11	15.8570119156737
AX-387801205	11	1.46654445462878
AX-600423236	11	1.37488542621448
AX-601606803	12	7.24106324472961
AX-600460047	12	3.29972502291476
AX-612153358	12	2.10815765352887
AX-600460049	13	15.4903758020165
AX-600459875	14	0.458295142071494
AX-600477498	15	0.916590284142988
AX-389034258	15	1.74152153987168
AX-600477352	16	0.0916590284142988
AX-600477350	16	29.4225481209899
AX-600477323	16	6.32447296058662
AX-600459604	16	0
AX-605576119	17	2.19981668194317
AX-600459398	17	0.824931255728689
AX-601610410	18	0.274977085242896
AX-601606733	19	4.39963336388634
AX-601660322	20	3.84967919340055
AX-606771840	21	0.73327222731439
AX-601656906	21	4.39963336388634
AX-602309831	22	3.11640696608616
AX-613664186	22	8.24931255728689
AX-613664292	22	14.6654445462878
AX-605544081	22	0.0916590284142988
AX-601937812	23	3.29972502291476
AX-605550644	24	0.183318056828598
AX-601937720	25	0.549954170485793
AX-601937677	26	17.1402383134739
AX-612003352	27	2.29147571035747
AX-612001324	27	0.824931255728689
AX-600338895	28	0.458295142071494
AX-600358002	28	0
AX-600338374	28	5.86617781851512
AX-612002029	28	7.24106324472961
AX-606126502	28	0.366636113657195
AX-606118148	28	0.0916590284142988
AX-601604202	29	5.49954170485793
AX-600356192	30	2.19981668194317
AX-601365508	31	11.0907424381302
AX-601365300	31	3.29972502291476
AX-117402466	32	14.8487626031164
AX-388223714	32	10.9990834097159
AX-605792475	33	25.3895508707608
AX-365972904	33	3.39138405132906
AX-605832361	34	12.9239230064161
AX-389730971	34	2.10815765352887
AX-600299444	34	7.24106324472961
AX-600299642	35	4.85792850595784
AX-612024947	35	3.02474793767186
