bin	mis
AX-601671684	1	15.2424942263279
AX-613713321	1	26.5588914549654
AX-613749870	1	0.23094688221709
AX-601671694	2	29.0993071593533
AX-613747302	2	0
AX-601115205	2	21.9399538106236
AX-602367817	3	8.31408775981524
AX-388126556	4	27.9445727482679
AX-389524492	4	3.46420323325635
AX-387475172	4	31.6397228637413
AX-600424981	4	24.0184757505774
AX-601619396	4	0
AX-601623071	4	0
AX-388261358	5	33.4872979214781
AX-602036546	5	11.7782909930716
AX-601619384	5	15.7043879907621
AX-526445794	5	0
AX-601015573	6	3.23325635103926
AX-612503832	6	39.4919168591224
AX-388441968	6	24.7113163972286
AX-601606803	6	0
AX-600460049	6	41.108545034642
AX-600460047	6	27.9445727482679
AX-387703147	7	0
AX-602038129	7	1.84757505773672
AX-601015482	7	14.0877598152425
AX-606234079	7	20.7852193995381
AX-387801205	7	34.8729792147806
AX-600459877	8	9.00692840646651
AX-600459725	8	0.69284064665127
AX-600459875	9	0.23094688221709
AX-600477352	10	2.54041570438799
AX-600477350	10	0.23094688221709
AX-389073370	10	30.2540415704388
AX-388461391	10	22.8637413394919
AX-600459168	11	9.2378752886836
AX-600476368	11	31.4087759815243
AX-605575895	11	0.69284064665127
AX-601610398	12	0
AX-601610388	13	0.23094688221709
AX-606771840	13	0.46189376443418
AX-601656906	13	6.00461893764434
AX-601660330	14	10.6235565819861
AX-600360667	15	19.8614318706697
AX-600341073	15	0
AX-600360062	16	0.69284064665127
AX-600360036	17	35.796766743649
AX-117402466	17	19.8614318706697
AX-612003352	18	0.69284064665127
AX-600338895	18	13.3949191685912
AX-605550052	18	3.23325635103926
AX-601604207	18	3.46420323325635
AX-600338359	18	24.7113163972286
AX-612069699	18	29.0993071593533
AX-606118090	18	16.1662817551963
AX-600338374	19	17.0900692840647
AX-600357344	19	26.0969976905312
AX-600337737	19	1.15473441108545
AX-606126502	19	27.4826789838337
AX-606118148	19	0
AX-600356034	19	29.7921478060046
AX-601365300	20	19.1685912240185
AX-601365098	20	0.23094688221709
AX-601365248	21	0.69284064665127
AX-602089303	21	1.84757505773672
AX-605792475	21	13.6258660508083
AX-117396913	21	27.9445727482679
AX-601929342	22	21.4780600461894
AX-389627833	23	0.23094688221709
AX-605528947	23	31.6397228637413
AX-612024947	23	1.15473441108545
AX-388561779	23	3.00230946882217
AX-600279780	24	7.62124711316397
AX-600300242	24	29.7921478060046
AX-387509729	24	6.46651270207852
AX-600280078	24	0
AX-600086128	24	4.84988452655889
AX-612090098	25	16.3972286374134
AX-600381529	25	4.15704387990762
AX-611814578	25	8.31408775981524
AX-612090105	26	25.4041570438799
AX-611878523	27	29.7921478060046
AX-599552116	27	26.7898383371824
AX-388084874	28	2.07852193995381
AX-600446412	29	4.84988452655889
AX-611468780	29	2.3094688221709
AX-388669593	29	2.77136258660508
AX-605953695	29	0.46189376443418
AX-599552223	29	0.23094688221709
AX-605936761	30	3.00230946882217
AX-599629740	30	46.4203233256351
AX-600198937	30	54.9653579676674
AX-389099855	31	0
AX-605353647	31	0.23094688221709
AX-599552189	31	17.3210161662818
AX-599552279	31	29.0993071593533
AX-389046599	31	12.4711316397229
AX-600599504	31	27.9445727482679
AX-605597822	31	30.715935334873
AX-600599654	32	1.15473441108545
AX-388499705	33	28.4064665127021
AX-600583817	33	7.39030023094688
AX-601612290	33	0
AX-601970788	34	28.175519630485
AX-600600221	34	7.85219399538106
AX-600440835	35	8.31408775981524
AX-599925372	36	0
AX-611685994	37	7.62124711316397
AX-599899577	37	43.1870669745958
AX-389461222	38	29.5612009237875
AX-599899294	39	0
AX-386403147	39	29.3302540415704
AX-599924881	40	7.39030023094688
AX-605852384	40	23.7875288683603
AX-611093668	41	9.69976905311778
AX-602484381	42	8.54503464203233
