bin	mis
AX-601671684	1	16.0539215686275
AX-613713321	1	38.1127450980392
AX-613749870	1	0.245098039215686
AX-601671694	2	40.3186274509804
AX-613747302	2	0
AX-601115205	2	30.2696078431373
AX-602367817	3	27.5735294117647
AX-388261358	3	41.0539215686275
AX-602036546	3	10.0490196078431
AX-601619384	3	27.8186274509804
AX-388126556	4	29.9019607843137
AX-389524492	4	5.51470588235294
AX-387475172	4	40.3186274509804
AX-600424981	4	31.0049019607843
AX-388350075	4	36.6421568627451
AX-601619396	4	0.122549019607843
AX-554832836	5	18.9950980392157
AX-601623071	6	0.857843137254902
AX-526445794	7	0
AX-601015573	8	0
AX-612503832	8	45.5882352941176
AX-388441968	8	44.8529411764706
AX-387703147	9	7.9656862745098
AX-602038129	9	1.22549019607843
AX-601015482	9	28.1862745098039
AX-606234079	9	30.3921568627451
AX-387801205	10	41.2990196078431
AX-601606803	11	42.8921568627451
AX-600460049	11	32.2303921568627
AX-600460047	11	44.4852941176471
AX-600459877	11	11.7647058823529
AX-600459725	11	19.2401960784314
AX-600423236	12	6.00490196078431
AX-600459875	13	7.59803921568627
AX-600477352	14	2.20588235294118
AX-600477350	14	3.18627450980392
AX-389073370	14	38.9705882352941
AX-388461391	15	10.6617647058824
AX-600459168	15	21.5686274509804
AX-600476368	15	38.7254901960784
AX-601610398	16	0
AX-605575895	17	0
AX-601610388	18	0
AX-606771840	18	0
AX-601656906	18	10.6617647058824
AX-601660330	19	27.328431372549
AX-600341073	20	0
AX-600360062	21	16.5441176470588
AX-600360036	22	40.4411764705882
AX-612003352	23	0.367647058823529
AX-600338895	23	0.490196078431373
AX-605550052	23	31.25
AX-601604207	23	10.171568627451
AX-600338359	23	12.9901960784314
AX-612069699	23	41.2990196078431
AX-606118090	23	28.5539215686275
AX-600338374	24	28.6764705882353
AX-600357344	24	39.2156862745098
AX-600337737	24	0.245098039215686
AX-606126502	24	39.2156862745098
AX-606118148	24	0
AX-600356034	24	20.9558823529412
AX-117402466	25	27.4509803921569
AX-601365248	25	1.22549019607843
AX-602089303	25	6.25
AX-605792475	25	16.1764705882353
AX-117396913	25	39.828431372549
AX-601929342	25	36.1519607843137
AX-605528947	25	41.2990196078431
AX-612024947	25	13.2352941176471
AX-388561779	25	6.86274509803922
AX-601365300	26	35.906862745098
